# Lane B peak/lifetime trace (HEAD 013f1f7). peak_qubits=1302 at phase=dialog_gcd_compressed_block_tobitvector_shift ops_idx=1096242 total_ops=9777634
# distinct phases reaching 1302q: dialog_gcd_compressed_block_tobitvector_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_compress_block(2 sites), dialog_gcd_compressed_block_tobitvector_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_add(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_branch_bits(4 sites), dialog_gcd_compressed_block_tobitvector_reverse_cswap(4 sites), dialog_gcd_compressed_block_tobitvector_shift(6 sites), dialog_gcd_compressed_block_tobitvector_subtract(4 sites), dialog_gcd_raw_tobitvector_materialized_add_body(4 sites), dialog_gcd_raw_tobitvector_materialized_add_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_add_load(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_body(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_clear(4 sites), dialog_gcd_raw_tobitvector_materialized_sub_load(4 sites)
# rows below: per-region active-qubit maxima within 7 of peak (source: TRACE_PHASE_ACTIVE_REGIONS)
ops_idx	active_q	phase	level
1080424	1296	dialog_gcd_compressed_block_tobitvector_compress_block	near
1080745	1296	dialog_gcd_compressed_block_tobitvector_branch_bits	near
1081510	1296	dialog_gcd_compressed_block_tobitvector_cswap	near
1081510	1296	dialog_gcd_compressed_block_tobitvector_subtract	near
1081766	1296	dialog_gcd_raw_tobitvector_materialized_sub_load	near
1084051	1296	dialog_gcd_raw_tobitvector_materialized_sub_body	near
1084561	1296	dialog_gcd_raw_tobitvector_materialized_sub_clear	near
1085700	1297	dialog_gcd_compressed_block_tobitvector_shift	near
1085988	1297	dialog_gcd_compressed_block_tobitvector_branch_bits	near
1086753	1297	dialog_gcd_compressed_block_tobitvector_cswap	near
1086753	1297	dialog_gcd_compressed_block_tobitvector_subtract	near
1087009	1297	dialog_gcd_raw_tobitvector_materialized_sub_load	near
1089294	1297	dialog_gcd_raw_tobitvector_materialized_sub_body	near
1089804	1297	dialog_gcd_raw_tobitvector_materialized_sub_clear	near
1090944	1297	dialog_gcd_compressed_block_tobitvector_shift	near
1090961	1301	dialog_gcd_compressed_block_tobitvector_compress_block	near
1091282	1301	dialog_gcd_compressed_block_tobitvector_branch_bits	near
1092047	1301	dialog_gcd_compressed_block_tobitvector_cswap	near
1092047	1301	dialog_gcd_compressed_block_tobitvector_subtract	near
