# Lane D GCD iteration tail distribution. secp256k1 P, N=400000 random factors, seed=20260611
# faithful port of full_gcd_step_jump (dialog_gcd_classical_filter.rs:359). depth2 = deployed K2.
# VALIDATION: depth2 max_steps must be ~258 (= ACTIVE_ITERATIONS); P(>257) ~ Phase2 23/9024=0.255%
depth	max_steps	mean_steps	steps	count	frac	cum_frac_at_or_above
1	408	361.83	408	1	0.000003	0.000003
1	408	361.83	407	0	0.000000	0.000003
1	408	361.83	406	0	0.000000	0.000003
1	408	361.83	405	0	0.000000	0.000003
1	408	361.83	404	3	0.000008	0.000010
1	408	361.83	403	2	0.000005	0.000015
1	408	361.83	402	4	0.000010	0.000025
1	408	361.83	401	5	0.000013	0.000037
1	408	361.83	400	7	0.000017	0.000055
1	408	361.83	399	13	0.000032	0.000087
1	408	361.83	398	16	0.000040	0.000128
1	408	361.83	397	23	0.000058	0.000185
1	408	361.83	396	28	0.000070	0.000255
1	408	361.83	395	46	0.000115	0.000370
1	408	361.83	394	60	0.000150	0.000520
1	408	361.83	393	88	0.000220	0.000740
2	268	241.78	268	1	0.000003	0.000003
2	268	241.78	267	0	0.000000	0.000003
2	268	241.78	266	1	0.000003	0.000005
2	268	241.78	265	0	0.000000	0.000005
2	268	241.78	264	4	0.000010	0.000015
2	268	241.78	263	6	0.000015	0.000030
2	268	241.78	262	8	0.000020	0.000050
2	268	241.78	261	15	0.000037	0.000087
2	268	241.78	260	37	0.000092	0.000180
2	268	241.78	259	101	0.000253	0.000432
2	268	241.78	258	169	0.000423	0.000855
2	268	241.78	257	322	0.000805	0.001660
2	268	241.78	256	526	0.001315	0.002975
2	268	241.78	255	993	0.002482	0.005457
2	268	241.78	254	1644	0.004110	0.009567
2	268	241.78	253	2649	0.006622	0.016190
