# Lane R1 donor map: per-step active_post_sub (per-step high-water) vs freed_uv (idle u/v high lanes).
# source: gated DIALOG_GCD_R1_DONORMAP diagnostic in compressed.rs step loop (R1 worktree, diagnostic-only).
# peak=1302 only at freed_uv=0 steps; freed_uv>0 steps run <1302. Donor and peak are mutually exclusive.
step	active_width	freed_uv	active_post_sub	reaches_1302
0	256	0	1281	no
1	256	0	1282	no
2	256	0	1286	no
3	256	0	1287	no
4	256	0	1291	no
5	256	0	1292	no
6	256	0	1296	no
7	256	0	1297	no
8	256	0	1301	no
9	256	0	1302	YES
10	256	0	1302	YES
11	256	0	1299	no
12	254	4	1299	no
13	254	4	1300	no
14	252	8	1296	no
15	252	8	1297	no
16	250	12	1293	no
17	250	12	1294	no
18	248	16	1290	no
19	248	16	1291	no
20	246	20	1287	no
21	246	20	1288	no
22	244	24	1284	no
23	244	24	1285	no
24	242	28	1281	no
25	242	28	1282	no
26	240	32	1278	no
27	240	32	1279	no
28	238	36	1275	no
29	238	36	1276	no
30	236	40	1272	no
31	236	40	1273	no
32	234	44	1269	no
33	234	44	1270	no
34	232	48	1266	no
35	232	48	1267	no
36	230	52	1263	no
37	230	52	1264	no
38	228	56	1260	no
39	228	56	1261	no
40	226	60	1257	no
41	226	60	1258	no
42	224	64	1254	no
43	224	64	1255	no
44	222	68	1251	no
45	222	68	1252	no
46	220	72	1248	no
47	220	72	1249	no
48	218	76	1245	no
49	218	76	1246	no
50	216	80	1242	no
51	216	80	1243	no
52	214	84	1239	no
53	214	84	1240	no
54	212	88	1236	no
55	212	88	1237	no
56	210	92	1233	no
57	210	92	1234	no
58	208	96	1230	no
59	208	96	1231	no
60	206	100	1227	no
61	206	100	1228	no
62	204	104	1224	no
63	204	104	1225	no
64	202	108	1221	no
65	202	108	1222	no
66	200	112	1218	no
67	198	116	1211	no
68	198	116	1215	no
69	196	120	1208	no
70	196	120	1212	no
71	194	124	1205	no
72	194	124	1209	no
73	192	128	1202	no
74	192	128	1206	no
75	190	132	1199	no
76	190	132	1203	no
77	188	136	1196	no
78	188	136	1200	no
79	186	140	1193	no
80	186	140	1197	no
81	184	144	1190	no
82	184	144	1194	no
83	182	148	1187	no
84	182	148	1191	no
85	180	152	1184	no
86	180	152	1188	no
87	178	156	1181	no
88	178	156	1185	no
89	176	160	1179	no
90	176	160	1182	no
91	174	164	1179	no
92	174	164	1179	no
93	172	168	1179	no
94	172	168	1179	no
95	170	172	1179	no
96	170	172	1179	no
97	168	176	1179	no
98	168	176	1179	no
99	166	180	1179	no
100	166	180	1179	no
101	164	184	1179	no
102	164	184	1179	no
103	162	188	1179	no
104	162	188	1179	no
105	160	192	1179	no
106	160	192	1179	no
107	158	196	1179	no
108	158	196	1179	no
109	156	200	1179	no
110	156	200	1179	no
111	154	204	1179	no
112	154	204	1179	no
113	152	208	1179	no
114	152	208	1179	no
115	150	212	1179	no
116	150	212	1179	no
117	148	216	1179	no
118	148	216	1179	no
119	146	220	1179	no
120	146	220	1179	no
121	144	224	1179	no
